ESTAMAA 

------------------------
Ayumiim Ungipaghaatangi 

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	Ungipagh-agh[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	Ungipagh-agh[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
