Yuggaq Unangyiilnguq Enkaam Nanuq

enkaam	enkaam
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
